ProteinName	FullName	PDBs	SsLens	SeqLen	SsCount	SsAvgLen	SsLenSum	DomainCount
ATPF2_SPIOL	ATP synthase subunit b', chloroplastic	6fkf/6fkh/6fki/6vm1/6vm4/6vmb/6vmg/6vof/6voh/6voj/6vol/6von	19,93,14	222	3	42	126	0
ATPK_BOVIN	ATP synthase subunit f, mitochondrial	6zpo/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	3,7,19,4,23	88	5	11,2	56	0
ATPL_ILYTA	ATP synthase subunit c, sodium ion specific	1yce/2wgm	19,4,20,3,31	89	5	15,4	77	0
AXE2_GEOSE	Acetylxylan esterase	3w7v/4jhl/4jj4/4jj6/4jko/4oao/4oap/5bn1	7,4,3,3,12,3,4,11,3,6,9,3,15,3,7,20,3,9,3,3,15	219	21	6,95238095238095	146	0
BAG1_ARATH	BAG family molecular chaperone regulator 1	4hwc/4hwi	7,7,12,3,5,7,27,18,27	342	9	12,5555555555556	113	2
BAG1_HUMAN	BAG family molecular chaperone regulator 1	1hx1/1wxv/3fzf/3fzh/3fzk/3fzl/3fzm/3ldq/3m3z/5aqf/5aqg/5aqh/5aqi/5aqj/5aqk/5aql/5aqm/5aqn/5aqo/5aqp/5aqq/5aqr/5aqs/5aqt/5aqu/5aqv	6,9,5,11,4,3,4,4,9,36,3,9,18,26	345	14	10,5	147	2
BAG2_MOUSE	BAG family molecular chaperone regulator 2	3cqx	34,8,23	210	3	21,6666666666667	65	1
BAT1_HUMAN	b(0,+)-type amino acid transporter 1	6li9/6lid/6yup	11,3,7,28,4,7,13,18,3,4,18,4,24,3,11,3,4,24,5,8,17,8,5,14,22,20,19,15	487	28	11,5	322	0
BAT1_MYCRK	Burkholderia TALE-like protein 1	4cj9	8,10,5,7,17,8,17,8,17,8,17,8,18,8,17,8,17,8,16,8,17,8,17,8,18,8,18,8,17,8,17,8,17,8,17,8,17,8,18,8,17,8,18,10,17,8,9	771	47	12,1276595744681	570	0
BCPA_CHLTE	Bacteriochlorophyll a protein	3bsd/3eni/5h8z	10,11,13,12,29,16,4,12,16,9,7,3,9,18,4,3,10,11,6,4,8,9,7,4,6,11,5	366	27	9,51851851851852	257	0
BCPB_MYCTU	Putative peroxiredoxin Rv1608c	5epf	3,3,4,5,12,6,8,11,3,6,3,3,5,7,12	154	15	6,06666666666667	91	1
BIOD_MYCTU	Dethiobiotin synthetase BioD	3fgn/3fmf/3fmi/3fpa/4wop/6cve/6cvf/6cvu/6cvv/6czb/6czc/6czd/6cze/6e05/6e06/6nka/6nkb/6nl4/6nl5/6nlz/6nmz/6nn0/6nnz/6nu6/6nvc/6nvd/6nve/6nvf/6nwg/6nwn	9,14,8,3,9,7,4,7,9,5,3,3,7,6,14,9,13,6,3,11,5	226	21	7,38095238095238	155	0
BLMH_HUMAN	Bleomycin hydrolase	1cb5/2cb5	3,12,10,5,6,3,3,17,25,8,11,3,3,23,23,8,7,8,3,5,7,3,13,5,5,6,10,7,5,7,7,3,4,4,3,3	455	36	7,72222222222222	278	0
C167_SORCE	Epothilone C/D epoxidase	1pkf/1q5d/1q5e	10,5,4,8,3,6,3,6,11,4,4,3,15,3,8,3,14,24,10,4,15,16,9,3,11,12,3,3,5,4,3,3,18,3,3,5	419	36	7,33333333333333	264	0
CA4A_CONER	Alpha-conotoxin EIVA	1pqr	6,4,4	30	3	4,66666666666667	14	0
CAH_ENTCL	Cyanuric acid amidohydrolase	5t13	9,8,3,10,17,7,7,15,8,3,17,3,8,9,19,3,3,8,8,14,10,4,5,8,3,3,17,4,3,8	370	30	8,13333333333333	244	0
CALC_ANGJA	Calcitonin	1bku/1byv/1bzb	15,4,3	32	3	7,33333333333333	22	0
CARD_ACEWD	Caffeyl-CoA reductase-Etf complex subunit CarD	6fah	5,3,3,16,8,11,6,13,7,8,8,8,15,3,9,3,4,8,13	262	19	7,94736842105263	151	0
CARD_MYCTU	RNA polymerase-binding transcription factor CarD	4kbm/4kmc/6edt/6ee8/6eec/6vvx/6vvy/6vvz/6vw0	4,11,8,6,3,12,12,15,21,3,10	162	11	9,54545454545454	105	0
CARE_ACEWD	Caffeyl-CoA reductase-Etf complex subunit CarE	6fah	5,3,4,17,9,8,7,3,13,8,12,6,4,3,7,3,6,7,3,7,4,3,3,11,4,4,3,4,5,4,3,7,4,6,13	396	35	6,08571428571429	213	0
CAS4_PYRCJ	CRISPR-associated exonuclease Cas4	4r5q	3,4,10,4,5,9,10,5,18,9,11,7,15,6,5,4,11,3,4	213	19	7,52631578947368	143	0
CASSI_CORCC	Cassiicolin	2hgo	3,3,3,3	27	4	3	12	0
CAZA1_CHICK	F-actin-capping protein subunit alpha-1	1izn/2kxp/2kz7/3aa0/3aa1/3aa6/3aa7/3aaa/3aae/3lk2/3lk4/7ds2/7ds4/7ds6/7ds8	3,13,12,19,3,3,3,3,3,4,6,7,3,18,3,9,14,3,12,14,16,32,5,4	286	24	8,83333333333333	212	0
CBH_BIFLN	Conjugated bile acid hydrolase	2hez/2hf0	6,10,5,19,6,3,5,8,8,4,3,6,7,6,3,7,4,3,3,3,14,11,9,8,5,3,3	317	27	6,37037037037037	172	0
CBPA4_HUMAN	Carboxypeptidase A4	2bo9/2boa/2pcu/4a94/4bd9	5,10,3,4,4,5,3,10,6,22,3,14,8,7,6,17,9,6,9,3,3,4,6,13,8,8,16,4,4,7,6,4,3,3,20	421	35	7,51428571428571	263	0
CCND3_HUMAN	G1/S-specific cyclin-D3	3g33	11,4,17,15,3,16,5,14,4,6,17,3,14,12,16	292	15	10,4666666666667	157	1
CD59_HUMAN	CD59 glycoprotein	1cdq/1cdr/1cds/1erg/1erh/2j8b/2ofs/2uwr/2ux2/5imy	3,3,3,7,7,3,8,5,3,3	128	10	4,5	45	1
CD5R1_HUMAN	Cyclin-dependent kinase 5 activator 1	1unl/3o0g	15,16,14,19,3,3,24,12	307	8	13,25	106	0
CFI3_ARATH	Probable chalcone--flavanone isomerase 3	4dok	3,3,21,12,7,3,5,9,3,9,18,15,6,3,6,5,11,15	209	18	8,55555555555556	154	0
CG121_METJA	Regulatory protein Cgi121	2k8y	8,5,6,3,13,4,10,8,10,11,4,10,3,10,3	145	15	7,2	108	0
CHB_SERMA	Chitobiase	1c7s/1c7t/1qba/1qbb	7,8,4,3,10,5,4,5,6,11,3,3,3,3,3,7,4,11,3,13,8,3,3,5,7,14,3,9,8,3,13,5,4,4,12,11,16,6,3,20,4,3,3,4,3,8,4,3,15,5,4,3,3,10,10,4,4,3,6,3,6,3,7,8,10,3,17,7,5,5,8,3,5	885	73	6,32876712328767	462	0
CHEW_ECOLI	Chemotaxis protein CheW	2ho9/6s1k	4,8,6,3,7,7,6,5,7,16,4,3,5,5,12,3	167	16	6,3125	101	1
CHEW_THEMA	Chemotaxis protein CheW	1k0s/2ch4/3ja6/4jpb	11,5,3,6,3,7,7,5,3,7,17,3,3,3,7,6,8	151	17	6,11764705882353	104	1
CHEX_THEMA	CheY-P phosphatase CheX	1squ	17,3,12,7,11,23,3,4,3,12,7	155	11	9,27272727272727	102	0
CHEY_ECOLI	Chemotaxis protein CheY	1a0o/1ab5/1ab6/1bdj/1c4w/1cey/1chn/1cye/1d4z/1djm/1e6k/1e6l/1e6m/1eay/1ehc/1f4v/1ffg/1ffs/1ffw/1fqw/1hey/1jbe/1mih/1udr/1vlz/1ymu/1ymv/1zdm/2b1j/2id7/2id9/2idm/2lp4/3chy/3f7n/3fft/3ffw/3ffx/3fgz/3myy/3olv/3olw/3olx/3oly/3oo0/3oo1/3rvj/3rvk/3rvl/3rvm/3rvn/3rvo/3rvp/3rvq/3rvr/3rvs/5chy/5d2c/5dgc/5dkf/6chy/6tg7	3,4,13,6,8,6,3,9,7,9,7,15	129	12	7,5	90	1
CHPT_BRUA2	Protein phosphotransferase ChpT	4qpj	32,25,3,13,9,3,17,8,11,7,13,4,5	209	13	11,5384615384615	150	0
CHQB_NOCSI	Hydroxyquinol 1,2-dioxygenase	1tmx	17,21,17,8,9,10,5,3,3,6,8,8,7,7,4,3,3,3,5,3	293	20	7,5	150	0
CHTB_VIBCH	Cholera enterotoxin subunit B	1xtc/5elc/5ele/5elf/5lzg/5lzj/6hjd/6hmw/6hmy/6hsv	5,8,6,5,4,18,21	124	7	9,57142857142857	67	0
CINC_CITBR	Cindoxin	4oxx	7,3,13,7,3,6,10,11,8,3,12,4,3,16	154	14	7,57142857142857	106	1
CLH1_BOVIN	Clathrin heavy chain 1	1utc/1xi4/1xi5/3iyv/3lvg/3lvh/3qil/5m5r/5m5s/5m5t/5m5u/5m5v/5m61/6wcj	9,4,3,5,8,8,5,5,10,6,7,6,17,5,3,7,10,10,6,8,9,7,5,3,7,6,7,6,7,6,7,7,10,4,7,9,11,13,6,13,11,12,11,9,10,10,10,13,3,8,3,10,8,13,10,8,11	1675	57	7,92982456140351	452	0
CNTA_STAA8	Metal-staphylopine-binding protein CntA	5yh8/5yhg	6,8,4,7,5,12,3,6,12,6,4,8,8,5,5,3,8,10,6,3,9,8,3,9,18,3,8,7,4,4,10,4,7,16,7,10,6,5,3,4,11,18,14	532	43	7,37209302325581	317	0
COAA_KLEP3	Pantothenate kinase	4f7w/4gi7	6,5,4,10,6,26,7,12,3,5,4,7,3,3,11,3,3,6,3,4,7,18,4,14,8,6,7,3,7	316	29	7,06896551724138	205	0
COAE_ECOLI	Dephospho-CoA kinase	1t3h/1vhl/1vht/1viy/6ari	6,10,4,7,9,3,3,9,25,7,4,7,12,10,7,5,3,18	206	18	8,27777777777778	149	1
COAW_STAA8	Type II pantothenate kinase	5elz/6avp/6awg/6awh/6awi/6awj/6ebv	5,8,6,3,9,5,6,3,3,15,15,8,12,8,3,5,4,3,3,27,6,3,13,4,3,11	267	26	7,34615384615385	191	0
COMB_THET8	Probable 2-phosphosulfolactate phosphatase	2z0j	7,7,10,5,5,4,6,6,9,6,11,8,16,12,6,8,5,7,6	237	19	7,57894736842105	144	0
COX17_HUMAN	Cytochrome c oxidase copper chaperone	2l0y/2lgq/2rn9/2rnb	3,13,3,14	63	4	8,25	33	1
COX2_CERSP	Cytochrome c oxidase subunit 2	1m56/1m57/2gsm/3dtu/3fye/3fyi/5weh/6ci0	4,34,30,9,5,4,3,9,3,3,4,12,5,3,5,6,5,3,6,10,3	303	21	7,90476190476191	166	0
COX8B_BOVIN	Cytochrome c oxidase subunit 8B, mitochondrial	1occ/1oco/1ocr/1ocz/1v54/1v55/2dyr/2dys/2eij/2eik/2eil/2eim/2ein/2occ/2y69/2ybb/2zxw/3abk/3abl/3abm/3ag1/3ag2/3ag3/3ag4/3asn/3aso/3wg7/3x2q/5b1a/5b1b/5b3s/5gpn/5iy5/5w97/5wau/5x19/5x1b/5x1f/5xdq/5xdx/5xth/5xti/5z84/5z85/5z86/5zco/5zcp/5zcq/6j8m/6juw/6jy3/6jy4/6nkn/6nmf/6nmp/7coh	24,5	70	2	14,5	29	0
CPT2_RAT	Carnitine O-palmitoyltransferase 2, mitochondrial	2deb/2fw3/2fyo/2h4t/2rcu/4ep9/4eph/4eyw	3,12,16,15,10,4,4,20,4,4,7,7,3,4,6,3,4,6,8,13,6,13,9,4,9,3,7,5,3,16,4,3,18,7,6,17,6,4,11,3,23,13,4,6,6,5,7,7,3,19	658	50	8	400	0
CPTP_HUMAN	Ceramide-1-phosphate transfer protein	4k80/4k84/4k85/4k8n/4kbs/4kf6	6,5,18,3,19,4,10,3,24,11,4,11,7,3,28	214	15	10,4	156	0
CPT_STRVP	Chloramphenicol 3-O phosphotransferase	1grq/1grr/1qhn/1qhs/1qhx/1qhy	5,11,3,5,7,4,4,3,19,6,11,7,10,3,5,3,5,9	178	18	6,66666666666667	120	0
CRAM_CRAAB	Crambin	1ab1/1cbn/1ccm/1ccn/1cnr/1crn/1cxr/1ejg/1jxt/1jxu/1jxw/1jxx/1jxy/1yv8/1yva/2eya/2eyb/2eyc/2eyd/2fd7/2fd9/3nir/3u7t/4fc1	5,11,8,3,3	46	5	6	30	0
CRL_SALTY	Sigma factor-binding protein Crl	2mz8/6omf	9,9,3,3,10,7,24,4,3	133	9	8	72	0
CRPE_MYCPA	Catalase-related peroxidase	3e4w/3e4y	10,3,11,3,3,13,8,8,10,3,11,4,7,3,3,10,12,5,12,9,12,4,3,18	313	24	7,70833333333333	185	0
CRPL_CORGL	CRP-like cAMP-activated global transcriptional regulator	3r6s/4byy	6,3,9,6,3,7,6,3,7,3,4,8,6,10,27,16,3,4,8,13,4,3,7	227	23	7,21739130434783	166	1
CRP_ECOLI	cAMP-activated global transcriptional regulator CRP	1cgp/1g6n/1hw5/1i5z/1i6x/1j59/1lb2/1o3q/1o3r/1o3s/1o3t/1run/1ruo/1zrc/1zrd/1zre/1zrf/2cgp/2gzw/2wc2/3fwe/3kcc/3n4m/3qop/3rdi/3rou/3rpq/3ryp/3ryr/4bh9/4bhp/4ft8/4hzf/4i01/4i09/4i0a/4i0b/4r8h/5ciz	3,7,6,3,3,4,7,7,3,8,3,4,3,7,7,10,26,13,3,3,5,8,13,5,5	210	25	6,64	166	1
CSA5A_SACS2	CRISPR type I-A cluster 1/Apern-associated protein Csa5-1	3zc4	8,12,3,5,21,8,3,11,3,4,4,3,4,4,13,11,3	162	17	7,05882352941176	120	0
CSAA_BACSU	Probable chaperone CsaA	2nzh/2nzo	8,12,3,7,4,6,4,5,3,3,3,5,9,3	110	14	5,35714285714286	75	1
CSK2B_HUMAN	Casein kinase II subunit beta	1ds5/1jwh/4md9/4nh1/6q38	7,5,4,3,3,8,3,21,12,3,3,3,3,3,4,3,8,3,3,3,4,4	215	22	5,13636363636364	113	0
CSM4_THEON	CRISPR system Cms protein Csm4	6muu	11,3,16,12,4,5,3,8,3,8,11,10,9,6,9,3,3,9,5,3,3,4,3,4,3,4,3,3	289	28	6	168	0
CUGA_CONPB	Conotoxin pc16a	2ler	3	11	1	3	3	0
CUTA_ECOLI	Divalent-cation tolerance protein CutA	1naq/3aa8/3aa9/3ah6/3x3u/4y65/4y6i	10,13,15,15,3,11,4,5,10	112	9	9,55555555555556	86	0
CVNH_NEUCR	Cyanovirin-N homolog	2jzl	3,5,9,7,3,4,4,4,10,9,7,6,3	111	13	5,69230769230769	74	0
CY550_THEEB	Cytochrome c-550	1mz4/1s5l/2axt/3kzi/4fby/4ixq/4ixr/4pbu/4pj0/4rvy/4tnh/4tni/4tnj/4tnk/5e79/5e7c/5h2f/5kaf/5kai/5mx2/5tis/5zzn/6dhe/6dhf/6dhg/6dhh/6dho/6dhp/6w1o/6w1p/6w1q/6w1r/6w1t/6w1u/6w1v	4,5,3,14,4,3,3,3,5,3,9,4,3,3,18,3,3	163	17	5,29411764705882	90	0
CY551_HALHA	Cytochrome c-551	1gks	6,4,4,3,5,10,12	78	7	6,28571428571429	44	0
CYO14_VIOOD	Cycloviolacin-O14	2gj0	4,3,5,4	31	4	4	16	0
DAPB2_PSEMX	Dipeptidyl aminopeptidase BII	3woi/3woj/3wok/3wol/3wom/3won/3woo/3wop/3woq/3wor/4y06	3,11,5,3,3,7,4,10,3,4,3,9,9,19,8,10,7,4,4,7,6,9,22,6,24,17,6,18,10,15,3,3,10,3,16,3,7,3,12,9,5,44,7,3,4,6,8,6,3,8,7,3,5,10,6	722	55	8,36363636363636	460	0
DAPDH_URETH	Meso-diaminopimelate D-dehydrogenase	3wyb/3wyc/5gz3	6,10,10,3,3,4,7,5,10,5,3,15,3,12,9,3,8,10,8,4,9,9,5,7,3,10,12,21,3,3,4,3,7	326	33	7,09090909090909	234	0
DCSB_STRLA	N(omega)-hydroxy-L-arginine amidinohydrolase	6lug/6luh	6,3,16,4,7,16,11,3,11,5,3,5,3,5,10,3,3,8,6,3,3,10,3,7,22	273	25	7,04	176	0
DCSD_STRLA	O-ureido-L-serine synthase	3x43/3x44	3,4,3,4,6,3,14,8,13,7,9,5,3,16,8,9,4,3,13,8,3,4,3,6,14,15,6,3,3,8	324	30	6,93333333333333	208	0
DCSG_STRLA	Cycloserine biosynthesis protein DcsG	6jil	5,3,10,5,3,7,4,14,5,7,7,3,11,9,4,3,13,5,4,7,8,3,4,18,9,10,3,3,12	299	29	6,86206896551724	199	1
DDDP_ROSDO	Dimethylsulfonioproprionate lyase DddP	4b28	6,3,9,18,5,8,6,5,4,4,3,4,3,19,6,9,4,9,28,13,3,3,4,8,3,9,19,6,4,14,9,10,6,4	447	34	7,88235294117647	268	0
DDDQ_RUEPO	Dimethylsulfonioproprionate lyase DddQ	5cu1	16,6,8,10,4,7,4,7,6,11,5,3,4,4,9,3	201	16	6,6875	107	0
DDGS_TRIV2	Demethyl-4-deoxygadusol synthase	5tpr	7,18,6,8,18,7,3,14,6,13,5,5,6,8,5,6,18,16,22,3,3,5,4,18,13,14,6,4,15,4	410	30	9,33333333333333	280	0
DDRFA_KLEOK	Diol dehydratase-reactivating factor alpha subunit	2d0o/2d0p	8,11,10,3,15,3,8,10,5,8,5,7,13,10,6,3,9,7,6,6,6,5,6,6,3,8,3,3,16,3,14,14,12,7,9,8,9,3,7,12,9,4,7,3,3,4,3,27,4,3,6,4,3,8,4,3,13	610	57	7,28070175438596	415	0
DEFN_ARCDE	Defensin ARD1	1ozz/1p00/1p0a	7,4,8,8,3,5	44	6	5,83333333333333	35	0
DEF_PENBA	Defensin-like protein	1brz/2brz/2kgq/2kyq/2ly5/2ly6/2n66/2n69/4he7	4,4,4,10,7,3,8	54	7	5,71428571428571	40	0
DEOC_THEMA	Deoxyribose-phosphate aldolase	3r12/3r13	16,3,7,5,13,5,3,8,7,14,6,5,14,6,3,13,4,4,11,8,9,6,12	248	23	7,91304347826087	182	0
DGD_SALEP	D-galactonate dehydratase family member SEN1436	3twa/3twb	9,10,5,3,16,9,22,4,10,14,4,4,10,4,19,8,11,3,4,6,7,3,9,3,4,13,3,13,6,3,3,4	419	32	7,6875	246	0
DGGGP_METJA	Digeranylgeranylglyceryl phosphate synthase	6m31/6m34/7bpu	10,19,25,6,19,19,20,24,5,5,3,15,4,23,26	283	15	14,8666666666667	223	0
DGOA_ECOLI	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	2v81/2v82	3,4,14,5,12,6,9,3,9,3,4,9,5,4,8,7,7,5,20	205	19	7,21052631578947	137	0
DHAR1_ARATH	Glutathione S-transferase DHAR1, mitochondrial	5el8/5ela/5elg	8,5,12,6,3,6,4,4,11,3,9,3,18,3,3,21,11,6,8	213	19	7,57894736842105	144	2
DJC24_HUMAN	DnaJ homolog subfamily C member 24	2l6l	6,15,19,3,12,7,4,5,3,5,4,3,4,5	149	14	6,78571428571429	95	2
DLTB_STRT2	Teichoic acid D-alanyltransferase	6bug/6buh/6bui	6,16,16,25,24,3,16,8,3,9,23,6,11,31,3,4,10,10,3,20,33,22,7	415	23	13,4347826086957	309	0
DNAJ_ECOLI	Chaperone protein DnaJ	1bq0/1bqz/1exk/1xbl/5nro	5,3,15,4,18,5,3,3,3,8,6,4,3,3,5	376	15	5,86666666666667	88	1
DOM34_YEAST	Protein DOM34	3j16	7,6,8,6,13,8,4,5,3,6,9,7,7,8,17,8,15,4,5,5,8,3,8,14,6,9,7,3,16,5,8,7	386	32	7,65625	245	0
DPH3_YEAST	Diphthamide biosynthesis protein 3	1yop/1yws/4x33/5ax2	5,3,4,5,7,5,3,4,5,11	82	10	5,2	52	1
DPO2_ECOLI	DNA polymerase II	3k57/3k5l	14,10,6,6,3,7,10,9,13,8,11,9,8,8,9,9,15,7,12,4,3,4,4,7,9,3,14,22,12,15,4,6,9,9,3,3,5,17,16,3,24,4,8,24,12,4,7,9,3,15,12,3,5,3,15,9,4,3,7,6,4,8	783	62	8,62903225806452	535	0
DPOL_BPT7	DNA-directed DNA polymerase	2ajq	9,3,8,4,3,13,5,13,3,3,8,3,3,23,3,22,3,7,19,3,25,4,3,3,7,10,6,23,4,3,3,5,3,6,3,7,14,8,8,12,5,13,12,3,3,3,4,3,3,27,9,8,21,8	704	54	8,09259259259259	437	0
DPOL_THES9	DNA polymerase	4k8x/5omq/5omv/6is7/6isf/6isg/6ish/6isi	9,10,7,7,3,4,4,4,9,9,11,6,8,8,7,7,3,15,7,12,4,5,5,5,8,9,10,3,33,4,16,6,11,9,3,3,22,25,25,6,5,15,3,14,6,6,3,3,17,16,4,4,3,11,8,3,3,3,6,9,3,3	775	62	8,2258064516129	510	0
DPS_HALSA	DNA protection during starvation protein	1moj/1tjo/1tk6/1tko/1tkp	31,28,7,3,28,24	182	6	20,1666666666667	121	0
DSBB_ECOLI	Disulfide bond formation protein B	2hi7/2k73/2k74/2leg/2zup	8,22,22,4,27,3,4,3,3,26	176	10	12,2	122	0
DXO_CANAL	Decapping nuclease RAI1	5bth/5bud	3,8,4,5,3,3,15,5,9,3,8,6,18,21,4,3,5,4,10,9,4,3,3,8,21,7,9,3,6,3,18,6,6,8,9	391	35	7,42857142857143	260	0
ECOT_ECOLI	Ecotin	1azz/1ecy/1ecz/1ezu/1ifg/1n8o/1xx9/1xxd/1xxf	3,6,3,13,3,3,6,6,3,3,7,4,3,3,6,8	162	16	5	80	0
EF1B_PYRHO	Elongation factor 1-beta	2yy3	11,11,9,9,10,11	91	6	10,1666666666667	61	0
EGTB_MYCT3	Hercynine oxygenase	4x8b/4x8d/4x8e	18,5,16,4,3,6,21,23,4,6,3,5,6,9,3,3,10,5,4,11,9,3,6,3,7,3,3,5,3,3,5,3	446	32	6,8125	218	0
EGTC_MYCS2	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase	4zfj/4zfk/4zfl	11,5,4,6,8,3,6,3,9,3,5,7,3,4,12,3,11,7,11,5,7,8,6	227	23	6,39130434782609	147	1
