ProteinName	FullName	PDBs	SsLens	SeqLen	SsCount	SsAvgLen	SsLenSum	DomainCount
AK1A1_MOUSE	Aldo-keto reductase family 1 member A1	4gac	3,5,13,3,3,11,3,3,6,3,15,7,4,3,13,3,5,10,5,9,6,6,3,10,11,7,8,4,6	325	29	6,48275862068965	188	0
AK1BA_HUMAN	Aldo-keto reductase family 1 member B10	4ga8/4gab/4gq0/4gqg/4i5x/4jih/5y7n	3,8,10,3,3,13,3,6,3,15,7,3,5,13,9,8,6,9,6,3,3,9,10,8,8,3,3,3	316	28	6,53571428571429	183	0
AK1C1_HUMAN	Aldo-keto reductase family 1 member C1	1mrq/3c3u/3gug/3nty/4yvp/6a7a/6ijx	3,8,12,3,3,13,3,6,3,15,6,3,3,13,9,8,6,4,9,6,3,10,11,5,7,5,8,3,3	323	29	6,58620689655172	191	0
AK1C3_HUMAN	Aldo-keto reductase family 1 member C3	1ry0/1ry8/1s1p/1s1r/1s2a/1s2c/2f38/4dbs/4dbu/4dbw/4fam/4wdt/4wdu/4wrh/4xve/4yvv/4yvx/4zfc/5hnt/5hnu/6a7b/6f2u/6f78/6gxk/7c7f/7c7g/7c7h	3,8,12,3,3,13,3,6,3,3,12,6,3,3,13,9,8,6,9,6,3,10,11,5,7,5,8,4,3	323	29	6,48275862068965	188	0
AK1C4_HUMAN	Aldo-keto reductase family 1 member C4	2fvl	3,3,8,12,3,3,14,3,6,3,15,7,3,13,9,8,6,9,6,3,9,11,5,7,5,8,3,4	323	28	6,75	189	0
AL4A1_HUMAN	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	3v9g/3v9h	7,13,3,3,3,6,10,20,16,12,11,14,8,7,9,5,3,13,4,9,8,13,4,6,5,13,4,7,12,16,5,3,6,4,9,3,10,3,5,10,7,3,3,5,8,3	563	46	7,6304347826087	351	0
ALBA_PYRHO	DNA/RNA-binding protein Alba	2z7c	3,13,8,15,13,12	93	6	10,6666666666667	64	0
ALBA_THEVO	DNA/RNA-binding protein Alba	4z9e	3,12,8,3,14,10,9	89	7	8,42857142857143	59	0
ALDH_VIBHA	NADP-dependent fatty aldehyde dehydrogenase	1eyy/1ez0	5,3,20,17,12,24,3,4,3,7,4,3,9,4,18,3,4,8,6,13,3,4,4,6,9,4,7,16,15,5,6,6,4,11,9,7,3,12,8,3,3,3,7,8,3,3,3	510	47	7,27659574468085	342	0
ALDOA_HUMAN	Fructose-bisphosphate aldolase A	1ald/2ald/4ald	14,5,4,12,3,6,4,7,5,3,3,3,10,8,3,20,8,21,3,13,5,13,8,4,3,17,3,3,3	364	29	7,37931034482759	214	0
ALG13_YEAST	UDP-N-acetylglucosamine transferase subunit ALG13	2jzc/2ks6	4,3,7,8,3,3,5,4,5,6,4,8,5,9,4,12,6,8,3,8	202	20	5,75	115	0
ALR2_PSEAE	Alanine racemase, catabolic	1rcq	5,15,6,5,8,7,9,3,3,6,5,9,7,3,4,13,7,13,6,3,4,4,3,13,3,3,10,3,4,5,4,9,7,6,4	357	35	6,25714285714286	219	0
ALR_MYCTU	Alanine racemase	6scz	7,15,6,5,10,6,9,3,5,4,14,7,4,13,8,19,6,6,3,3,3,6,5,3,3,7,3,3,4,7,9,5,8,5,6	386	35	6,57142857142857	230	0
AMIE_PSEAE	Aliphatic amidase	2uxy	7,21,5,7,3,13,9,7,6,3,6,5,9,7,15,6,3,3,3,4,7,10,4,6,8,11,4	346	27	7,11111111111111	192	1
AMPA_ECOLI	Cytosol aminopeptidase	1gyt	5,3,6,7,3,8,6,9,17,5,3,16,5,3,26,14,6,6,8,3,8,11,8,16,13,3,3,11,4,7,7,7,14,3,4,3,7,10,5,3,3,11	503	42	7,61904761904762	320	0
AMPD_CITFR	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1j3g/2y28/2y2b/2y2c/2y2d/2y2e	3,3,3,7,6,6,4,3,4,3,4,8,3,17,5,3,4,7	187	18	5,16666666666667	93	1
AMYS_NEIPO	Amylosucrase	1g5a/1jg9/1jgi/1mvy/1mw0/1mw1/1mw2/1mw3/1s46/1zs2/3ueq/4flo/4flq/4flr/4fls/5n6v/5n7j	8,3,9,25,18,11,5,4,5,6,7,5,4,13,6,4,7,3,5,6,3,3,3,4,15,5,3,3,17,4,4,3,6,13,9,6,6,12,3,3,5,3,14,8,3,3,5,4,18,3,3,6,6,3,3,5,3,3,5	636	59	6,47457627118644	382	0
AOFA_HUMAN	Amine oxidase [flavin-containing] A	2z5x/2z5y	5,12,4,6,4,6,9,3,8,5,3,19,3,6,8,15,9,5,3,4,11,3,4,5,9,9,4,5,7,7,4,8,5,7,7,16,3,8,3,4,3,3,3,3,18,3,3,3,5,23	527	50	6,66	333	0
AOFA_RAT	Amine oxidase [flavin-containing] A	1o5w	7,12,4,5,4,9,3,10,4,3,19,3,4,8,15,10,6,4,4,8,3,4,5,12,9,6,5,6,7,3,8,5,7,8,16,4,7,3,4,3,5,3,3,17,3,5,22	526	47	6,91489361702128	325	0
APR_HUMAN	Phorbol-12-myristate-13-acetate-induced protein 1	3mqp	20	54	1	20	20	0
APR_MOUSE	Phorbol-12-myristate-13-acetate-induced protein 1	2jm6/2rod	18,14	103	2	16	32	0
APT_FRATT	Adenine phosphoribosyltransferase	5yw2/5yw5	7,3,3,5,15,6,13,6,7,10,11,12,11,4,7	175	15	8	120	0
ARCH_METTH	Protein archease	1jw3	3,9,3,15,11,17,6,11,5,9	140	10	8,9	89	0
ARF1_PLAF7	ADP-ribosylation factor 1	3lrp	7,4,8,8,3,6,7,3,4,3,7,11,3,7,7,3,5,13	181	18	6,05555555555556	109	0
ARF1_YEAST	ADP-ribosylation factor 1	2k5u/2ksq/3tjz/5a1u/5a1v/5a1w/5a1x/5a1y/5nzr/5nzs/5nzu	5,3,5,10,3,10,8,4,3,4,8,3,11,3,7,8,3,5,9	181	19	5,89473684210526	112	0
ARGA_MYCTU	Amino-acid acetyltransferase	5yge/5yo2/6add	3,3,11,6,3,5,11,9,3,3,15,7,5,3,10,4,4,4,6	174	19	6,05263157894737	115	1
ARGB_STRMU	Acetylglutamate kinase	3l86	6,3,12,6,10,13,10,3,5,6,4,9,9,9,3,11,6,4,3,3,5,13,10,5	245	24	7	168	0
ARLY_ECOLI	Argininosuccinate lyase	1tj7	7,4,3,17,20,6,13,6,36,6,7,26,8,3,6,27,3,8,15,5,23,8,10,18,3,4,4,6,15	457	29	10,9310344827586	317	0
AROD_AQUAE	3-dehydroquinate dehydratase	2ysw	6,11,6,3,13,5,3,8,7,3,10,10,13,8,11,8,4,4,4,3,4,11	219	22	7,04545454545455	155	0
AROD_ARCFU	3-dehydroquinate dehydratase	2ox1	6,6,6,6,3,3,15,6,3,12,9,9,13,9,4,8,9,11	196	18	7,66666666666667	138	0
AROD_CLOD6	3-dehydroquinate dehydratase	3js3	3,3,3,6,11,6,3,14,4,3,13,6,3,13,10,13,7,17,5,7,4,3,4,13	255	24	7,25	174	0
ASSY_BORPE	Argininosuccinate synthase	5us8	6,12,8,9,5,13,3,3,19,3,12,3,3,6,3,10,7,6,4,3,3,8,5,13,6,7,17,19,13,3,7,7,4,9,16,3	445	36	7,72222222222222	278	0
ASTC_ECOLI	Succinylornithine transaminase	4adb/4adc/4add/4ade	7,6,4,6,4,11,13,8,19,5,6,3,3,6,5,6,3,3,13,5,4,5,5,4,5,5,14,25,7,6,10,4,4,19	406	34	7,44117647058824	253	0
AT5G1_BOVIN	ATP synthase F(0) complex subunit C1, mitochondrial	2xnd/5ara/5are/5arh/5ari/5fij/5fik/5fil/6zpo	6,17,3,5,20	136	5	10,2	51	0
AT5G2_BOVIN	ATP synthase F(0) complex subunit C2, mitochondrial	6z1r/6z1u/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	9,3,21,3,30	143	5	13,2	66	0
ATP6_BOVIN	ATP synthase subunit a	5ara/5are/5arh/5ari/5fij/5fik/5fil/6zpo/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	3,4,4,6,3,18,24,3,22,7,3,44,39	226	13	13,8461538461538	180	0
ATP8_PIG	ATP synthase protein 8	6j5i/6j5j/6j5k	3,8,4,15	67	4	7,5	30	0
ATPA_SPIOL	ATP synthase subunit alpha, chloroplastic	1fx0/1kmh/6fkf/6fkh/6fki/6vm1/6vm4/6vmb/6vmd/6vmg/6vof/6vog/6voh/6voi/6voj/6vok/6vol/6vom/6von/6voo	11,10,6,4,7,7,3,4,4,3,3,3,4,4,4,7,11,9,13,3,8,5,14,7,13,3,9,9,9,7,4,3,19,3,4,16,12,17,8,20	507	40	7,75	310	0
ATPD_ECOLI	ATP synthase subunit delta	1abv/2a7u/5t4o/5t4p/5t4q/6oqr/6oqs/6oqt/6oqu/6oqv/6oqw/6pqv/6wnq/6wnr	17,15,6,9,3,12,3,15,6,12,5,4,3,7,4,11	177	16	8,25	132	0
ATPF2_SPIOL	ATP synthase subunit b', chloroplastic	6fkf/6fkh/6fki/6vm1/6vm4/6vmb/6vmg/6vof/6voh/6voj/6vol/6von	19,93,14	222	3	42	126	0
ATPK_BOVIN	ATP synthase subunit f, mitochondrial	6zpo/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	3,7,19,4,23	88	5	11,2	56	0
ATPL_ILYTA	ATP synthase subunit c, sodium ion specific	1yce/2wgm	19,4,20,3,31	89	5	15,4	77	0
AXE2_GEOSE	Acetylxylan esterase	3w7v/4jhl/4jj4/4jj6/4jko/4oao/4oap/5bn1	7,4,3,3,12,3,4,11,3,6,9,3,15,3,7,20,3,9,3,3,15	219	21	6,95238095238095	146	0
BAG1_ARATH	BAG family molecular chaperone regulator 1	4hwc/4hwi	7,7,12,3,5,7,27,18,27	342	9	12,5555555555556	113	2
BAG1_HUMAN	BAG family molecular chaperone regulator 1	1hx1/1wxv/3fzf/3fzh/3fzk/3fzl/3fzm/3ldq/3m3z/5aqf/5aqg/5aqh/5aqi/5aqj/5aqk/5aql/5aqm/5aqn/5aqo/5aqp/5aqq/5aqr/5aqs/5aqt/5aqu/5aqv	6,9,5,11,4,3,4,4,9,36,3,9,18,26	345	14	10,5	147	2
BAG2_MOUSE	BAG family molecular chaperone regulator 2	3cqx	34,8,23	210	3	21,6666666666667	65	1
BAT1_HUMAN	b(0,+)-type amino acid transporter 1	6li9/6lid/6yup	11,3,7,28,4,7,13,18,3,4,18,4,24,3,11,3,4,24,5,8,17,8,5,14,22,20,19,15	487	28	11,5	322	0
BAT1_MYCRK	Burkholderia TALE-like protein 1	4cj9	8,10,5,7,17,8,17,8,17,8,17,8,18,8,17,8,17,8,16,8,17,8,17,8,18,8,18,8,17,8,17,8,17,8,17,8,17,8,18,8,17,8,18,10,17,8,9	771	47	12,1276595744681	570	0
BCPA_CHLTE	Bacteriochlorophyll a protein	3bsd/3eni/5h8z	10,11,13,12,29,16,4,12,16,9,7,3,9,18,4,3,10,11,6,4,8,9,7,4,6,11,5	366	27	9,51851851851852	257	0
BCPA_PROAE	Bacteriochlorophyll a protein	6mez	10,9,15,11,29,17,4,12,16,12,7,3,8,14,4,3,9,9,6,4,8,9,7,4,6,11,5	366	27	9,33333333333333	252	0
BCPB_MYCTU	Putative peroxiredoxin Rv1608c	5epf	3,3,4,5,12,6,8,11,3,6,3,3,5,7,12	154	15	6,06666666666667	91	1
BIOD_MYCTU	Dethiobiotin synthetase BioD	3fgn/3fmf/3fmi/3fpa/4wop/6cve/6cvf/6cvu/6cvv/6czb/6czc/6czd/6cze/6e05/6e06/6nka/6nkb/6nl4/6nl5/6nlz/6nmz/6nn0/6nnz/6nu6/6nvc/6nvd/6nve/6nvf/6nwg/6nwn	9,14,8,3,9,7,4,7,9,5,3,3,7,6,14,9,13,6,3,11,5	226	21	7,38095238095238	155	0
BLMH_HUMAN	Bleomycin hydrolase	1cb5/2cb5	3,12,10,5,6,3,3,17,25,8,11,3,3,23,23,8,7,8,3,5,7,3,13,5,5,6,10,7,5,7,7,3,4,4,3,3	455	36	7,72222222222222	278	0
C167_SORCE	Epothilone C/D epoxidase	1pkf/1q5d/1q5e	10,5,4,8,3,6,3,6,11,4,4,3,15,3,8,3,14,24,10,4,15,16,9,3,11,12,3,3,5,4,3,3,18,3,3,5	419	36	7,33333333333333	264	0
C3HPD_LABAI	Cis-3-hydroxy-L-proline dehydratase	4mgg	13,3,14,6,12,3,11,19,4,9,13,5,14,6,10,3,3,8,3,9,6,13,4,12,3,4,4,4,4	367	29	7,6551724137931	222	0
CA4A_CONER	Alpha-conotoxin EIVA	1pqr	6,4,4	30	3	4,66666666666667	14	0
CAH_BACSU	Cephalosporin-C deacetylase	1l7a/1ods	5,13,5,12,3,12,7,3,9,5,3,3,4,18,11,12,7,7,8,12,4,3,6,3,10,8,15	318	27	7,7037037037037	208	0
CAH_ENTCL	Cyanuric acid amidohydrolase	5t13	9,8,3,10,17,7,7,15,8,3,17,3,8,9,19,3,3,8,8,14,10,4,5,8,3,3,17,4,3,8	370	30	8,13333333333333	244	0
CALC_ANGJA	Calcitonin	1bku/1byv/1bzb	15,4,3	32	3	7,33333333333333	22	0
CARD_ACEWD	Caffeyl-CoA reductase-Etf complex subunit CarD	6fah	5,3,3,16,8,11,6,13,7,8,8,8,15,3,9,3,4,8,13	262	19	7,94736842105263	151	0
CARD_MYCTU	RNA polymerase-binding transcription factor CarD	4kbm/4kmc/6edt/6ee8/6eec/6vvx/6vvy/6vvz/6vw0	4,11,8,6,3,12,12,15,21,3,10	162	11	9,54545454545454	105	0
CARE_ACEWD	Caffeyl-CoA reductase-Etf complex subunit CarE	6fah	5,3,4,17,9,8,7,3,13,8,12,6,4,3,7,3,6,7,3,7,4,3,3,11,4,4,3,4,5,4,3,7,4,6,13	396	35	6,08571428571429	213	0
CAS4_PYRCJ	CRISPR-associated exonuclease Cas4	4r5q	3,4,10,4,5,9,10,5,18,9,11,7,15,6,5,4,11,3,4	213	19	7,52631578947368	143	0
CASSI_CORCC	Cassiicolin	2hgo	3,3,3,3	27	4	3	12	0
CAZA1_CHICK	F-actin-capping protein subunit alpha-1	1izn/2kxp/2kz7/3aa0/3aa1/3aa6/3aa7/3aaa/3aae/3lk2/3lk4/7ds2/7ds4/7ds6/7ds8	3,13,12,19,3,3,3,3,3,4,6,7,3,18,3,9,14,3,12,14,16,32,5,4	286	24	8,83333333333333	212	0
CBH_BIFLN	Conjugated bile acid hydrolase	2hez/2hf0	6,10,5,19,6,3,5,8,8,4,3,6,7,6,3,7,4,3,3,3,14,11,9,8,5,3,3	317	27	6,37037037037037	172	0
CBH_CLOPE	Conjugated bile acid hydrolase	2bjf/2bjg/2rf8/2rg2/2rlc	6,11,5,3,3,8,9,6,3,5,3,8,8,4,6,6,5,4,3,8,3,4,4,3,3,19,3,9,9,8,4,3,4	329	33	5,75757575757576	190	0
CBPA1_PIG	Carboxypeptidase A1	1pca	5,10,3,4,5,3,10,6,14,14,8,7,6,17,7,6,9,3,4,3,13,8,8,19,4,4,7,6,4,3,21	419	31	7,7741935483871	241	0
CBPA2_HUMAN	Carboxypeptidase A2	1aye/1dtd/1o6x	5,12,3,4,5,3,10,6,18,3,14,8,7,3,5,17,9,6,9,3,4,5,13,8,5,3,16,4,4,8,6,4,3,21	419	34	7,47058823529412	254	0
CBPA4_HUMAN	Carboxypeptidase A4	2bo9/2boa/2pcu/4a94/4bd9	5,10,3,4,4,5,3,10,6,22,3,14,8,7,6,17,9,6,9,3,3,4,6,13,8,8,16,4,4,7,6,4,3,3,20	421	35	7,51428571428571	263	0
CCND3_HUMAN	G1/S-specific cyclin-D3	3g33	11,4,17,15,3,16,5,14,4,6,17,3,14,12,16	292	15	10,4666666666667	157	1
CD59_HUMAN	CD59 glycoprotein	1cdq/1cdr/1cds/1erg/1erh/2j8b/2ofs/2uwr/2ux2/5imy	3,3,3,7,7,3,8,5,3,3	128	10	4,5	45	1
CD5R1_HUMAN	Cyclin-dependent kinase 5 activator 1	1unl/3o0g	15,16,14,19,3,3,24,12	307	8	13,25	106	0
CFI3_ARATH	Probable chalcone--flavanone isomerase 3	4dok	3,3,21,12,7,3,5,9,3,9,18,15,6,3,6,5,11,15	209	18	8,55555555555556	154	0
CG121_METJA	Regulatory protein Cgi121	2k8y	8,5,6,3,13,4,10,8,10,11,4,10,3,10,3	145	15	7,2	108	0
CHB_SERMA	Chitobiase	1c7s/1c7t/1qba/1qbb	7,8,4,3,10,5,4,5,6,11,3,3,3,3,3,7,4,11,3,13,8,3,3,5,7,14,3,9,8,3,13,5,4,4,12,11,16,6,3,20,4,3,3,4,3,8,4,3,15,5,4,3,3,10,10,4,4,3,6,3,6,3,7,8,10,3,17,7,5,5,8,3,5	885	73	6,32876712328767	462	0
CHEW_ECOLI	Chemotaxis protein CheW	2ho9/6s1k	4,8,6,3,7,7,6,5,7,16,4,3,5,5,12,3	167	16	6,3125	101	1
CHEW_THEMA	Chemotaxis protein CheW	1k0s/2ch4/3ja6/4jpb	11,5,3,6,3,7,7,5,3,7,17,3,3,3,7,6,8	151	17	6,11764705882353	104	1
CHEX_THEMA	CheY-P phosphatase CheX	1squ	17,3,12,7,11,23,3,4,3,12,7	155	11	9,27272727272727	102	0
CHEY1_HELPY	Chemotaxis protein CheY1	3gwg/3h1e/3h1f/3h1g	4,13,6,10,4,3,9,3,6,10,5,12	124	12	7,08333333333333	85	1
CHEY_ECOLI	Chemotaxis protein CheY	1a0o/1ab5/1ab6/1bdj/1c4w/1cey/1chn/1cye/1d4z/1djm/1e6k/1e6l/1e6m/1eay/1ehc/1f4v/1ffg/1ffs/1ffw/1fqw/1hey/1jbe/1mih/1udr/1vlz/1ymu/1ymv/1zdm/2b1j/2id7/2id9/2idm/2lp4/3chy/3f7n/3fft/3ffw/3ffx/3fgz/3myy/3olv/3olw/3olx/3oly/3oo0/3oo1/3rvj/3rvk/3rvl/3rvm/3rvn/3rvo/3rvp/3rvq/3rvr/3rvs/5chy/5d2c/5dgc/5dkf/6chy/6tg7	3,4,13,6,8,6,3,9,7,9,7,15	129	12	7,5	90	1
CHPT_BRUA2	Protein phosphotransferase ChpT	4qpj	32,25,3,13,9,3,17,8,11,7,13,4,5	209	13	11,5384615384615	150	0
CHQB_NOCSI	Hydroxyquinol 1,2-dioxygenase	1tmx	17,21,17,8,9,10,5,3,3,6,8,8,7,7,4,3,3,3,5,3	293	20	7,5	150	0
CHTB_VIBCH	Cholera enterotoxin subunit B	1xtc/5elc/5ele/5elf/5lzg/5lzj/6hjd/6hmw/6hmy/6hsv	5,8,6,5,4,18,21	124	7	9,57142857142857	67	0
CINC_CITBR	Cindoxin	4oxx	7,3,13,7,3,6,10,11,8,3,12,4,3,16	154	14	7,57142857142857	106	1
CISY_BACSU	Citrate synthase 1	2c6x	3,9,4,7,10,14,9,3,12,22,9,15,10,13,8,10,12,20,10,3,20,4	366	22	10,3181818181818	227	0
CLH1_BOVIN	Clathrin heavy chain 1	1utc/1xi4/1xi5/3iyv/3lvg/3lvh/3qil/5m5r/5m5s/5m5t/5m5u/5m5v/5m61/6wcj	9,4,3,5,8,8,5,5,10,6,7,6,17,5,3,7,10,10,6,8,9,7,5,3,7,6,7,6,7,6,7,7,10,4,7,9,11,13,6,13,11,12,11,9,10,10,10,13,3,8,3,10,8,13,10,8,11	1675	57	7,92982456140351	452	0
CNTA_STAA8	Metal-staphylopine-binding protein CntA	5yh8/5yhg	6,8,4,7,5,12,3,6,12,6,4,8,8,5,5,3,8,10,6,3,9,8,3,9,18,3,8,7,4,4,10,4,7,16,7,10,6,5,3,4,11,18,14	532	43	7,37209302325581	317	0
COAA_KLEP3	Pantothenate kinase	4f7w/4gi7	6,5,4,10,6,26,7,12,3,5,4,7,3,3,11,3,3,6,3,4,7,18,4,14,8,6,7,3,7	316	29	7,06896551724138	205	0
COAD_ACIBC	Phosphopantetheine adenylyltransferase	5yh7/5zzc/6a6d/6a75/6a7d	6,11,9,12,6,7,6,17,4,3,9,3,13	163	13	8,15384615384615	106	0
COAE_ECOLI	Dephospho-CoA kinase	1t3h/1vhl/1vht/1viy/6ari	6,10,4,7,9,3,3,9,25,7,4,7,12,10,7,5,3,18	206	18	8,27777777777778	149	1
COAW_STAA8	Type II pantothenate kinase	5elz/6avp/6awg/6awh/6awi/6awj/6ebv	5,8,6,3,9,5,6,3,3,15,15,8,12,8,3,5,4,3,3,27,6,3,13,4,3,11	267	26	7,34615384615385	191	0
COFD_METMA	2-phospho-L-lactate transferase	3c3d/3c3e/3cgw	4,9,3,4,3,3,9,3,8,15,12,6,8,3,5,7,9,4,5,6,6,5,4,3,8,5,3,7,5,15	303	30	6,23333333333333	187	0
COMB_THET8	Probable 2-phosphosulfolactate phosphatase	2z0j	7,7,10,5,5,4,6,6,9,6,11,8,16,12,6,8,5,7,6	237	19	7,57894736842105	144	0
COMC_METJA	L-sulfolactate dehydrogenase	2x06	14,17,3,3,9,5,5,7,19,9,8,7,7,11,8,3,5,6,3,3,14,3,7,3,16,9,13,3	344	28	7,85714285714286	220	0
COX17_HUMAN	Cytochrome c oxidase copper chaperone	2l0y/2lgq/2rn9/2rnb	3,13,3,14	63	4	8,25	33	1
COX2_CERSP	Cytochrome c oxidase subunit 2	1m56/1m57/2gsm/3dtu/3fye/3fyi/5weh/6ci0	4,34,30,9,5,4,3,9,3,3,4,12,5,3,5,6,5,3,6,10,3	303	21	7,90476190476191	166	0
COX8B_BOVIN	Cytochrome c oxidase subunit 8B, mitochondrial	1occ/1oco/1ocr/1ocz/1v54/1v55/2dyr/2dys/2eij/2eik/2eil/2eim/2ein/2occ/2y69/2ybb/2zxw/3abk/3abl/3abm/3ag1/3ag2/3ag3/3ag4/3asn/3aso/3wg7/3x2q/5b1a/5b1b/5b3s/5gpn/5iy5/5w97/5wau/5x19/5x1b/5x1f/5xdq/5xdx/5xth/5xti/5z84/5z85/5z86/5zco/5zcp/5zcq/6j8m/6juw/6jy3/6jy4/6nkn/6nmf/6nmp/7coh	24,5	70	2	14,5	29	0
CPT2_RAT	Carnitine O-palmitoyltransferase 2, mitochondrial	2deb/2fw3/2fyo/2h4t/2rcu/4ep9/4eph/4eyw	3,12,16,15,10,4,4,20,4,4,7,7,3,4,6,3,4,6,8,13,6,13,9,4,9,3,7,5,3,16,4,3,18,7,6,17,6,4,11,3,23,13,4,6,6,5,7,7,3,19	658	50	8	400	0
CPTP_HUMAN	Ceramide-1-phosphate transfer protein	4k80/4k84/4k85/4k8n/4kbs/4kf6	6,5,18,3,19,4,10,3,24,11,4,11,7,3,28	214	15	10,4	156	0
CPT_STRVP	Chloramphenicol 3-O phosphotransferase	1grq/1grr/1qhn/1qhs/1qhx/1qhy	5,11,3,5,7,4,4,3,19,6,11,7,10,3,5,3,5,9	178	18	6,66666666666667	120	0
CRAM_CRAAB	Crambin	1ab1/1cbn/1ccm/1ccn/1cnr/1crn/1cxr/1ejg/1jxt/1jxu/1jxw/1jxx/1jxy/1yv8/1yva/2eya/2eyb/2eyc/2eyd/2fd7/2fd9/3nir/3u7t/4fc1	5,11,8,3,3	46	5	6	30	0
CRL_SALTY	Sigma factor-binding protein Crl	2mz8/6omf	9,9,3,3,10,7,24,4,3	133	9	8	72	0
CRPE_MYCPA	Catalase-related peroxidase	3e4w/3e4y	10,3,11,3,3,13,8,8,10,3,11,4,7,3,3,10,12,5,12,9,12,4,3,18	313	24	7,70833333333333	185	0
CRPL_CORGL	CRP-like cAMP-activated global transcriptional regulator	3r6s/4byy	6,3,9,6,3,7,6,3,7,3,4,8,6,10,27,16,3,4,8,13,4,3,7	227	23	7,21739130434783	166	1
CRPL_MYCTU	CRP-like cAMP-activated global transcriptional regulator	3d0s/3mzh/4a2u	4,3,3,4,4,3,3,8,6,7,3,4,8,7,6,27,16,4,5,8,13,5,5,8	224	24	6,83333333333333	164	1
