ProteinName	FullName	PDBs	SsLens	SeqLen	SsCount	SsAvgLen	SsLenSum	DomainCount
APR_HUMAN	Phorbol-12-myristate-13-acetate-induced protein 1	3mqp	20	54	1	20	20	0
APR_MOUSE	Phorbol-12-myristate-13-acetate-induced protein 1	2jm6/2rod	18,14	103	2	16	32	0
APT_FRATT	Adenine phosphoribosyltransferase	5yw2/5yw5	7,3,3,5,15,6,13,6,7,10,11,12,11,4,7	175	15	8	120	0
ARCH_METTH	Protein archease	1jw3	3,9,3,15,11,17,6,11,5,9	140	10	8,9	89	0
ARF1_PLAF7	ADP-ribosylation factor 1	3lrp	7,4,8,8,3,6,7,3,4,3,7,11,3,7,7,3,5,13	181	18	6,05555555555556	109	0
ARGA_MYCTU	Amino-acid acetyltransferase	5yge/5yo2/6add	3,3,11,6,3,5,11,9,3,3,15,7,5,3,10,4,4,4,6	174	19	6,05263157894737	115	1
ARLY_ECOLI	Argininosuccinate lyase	1tj7	7,4,3,17,20,6,13,6,36,6,7,26,8,3,6,27,3,8,15,5,23,8,10,18,3,4,4,6,15	457	29	10,9310344827586	317	0
AROD_AQUAE	3-dehydroquinate dehydratase	2ysw	6,11,6,3,13,5,3,8,7,3,10,10,13,8,11,8,4,4,4,3,4,11	219	22	7,04545454545455	155	0
AROD_ARCFU	3-dehydroquinate dehydratase	2ox1	6,6,6,6,3,3,15,6,3,12,9,9,13,9,4,8,9,11	196	18	7,66666666666667	138	0
ASSY_BORPE	Argininosuccinate synthase	5us8	6,12,8,9,5,13,3,3,19,3,12,3,3,6,3,10,7,6,4,3,3,8,5,13,6,7,17,19,13,3,7,7,4,9,16,3	445	36	7,72222222222222	278	0
AT5G1_SHEEP	ATP synthase F(0) complex subunit C1, mitochondrial	6tt7	12,19,3,30	136	4	16	64	0
ATPD_ECOLI	ATP synthase subunit delta	1abv/2a7u/5t4o/5t4p/5t4q/6oqr/6oqs/6oqt/6oqu/6oqv/6oqw/6pqv/6wnq/6wnr	17,15,6,9,3,12,3,15,6,12,5,4,3,7,4,11	177	16	8,25	132	0
ATPF2_SPIOL	ATP synthase subunit b', chloroplastic	6fkf/6fkh/6fki/6vm1/6vm4/6vmb/6vmg/6vof/6voh/6voj/6vol/6von	19,93,14	222	3	42	126	0
ATPK_PIG	ATP synthase subunit f, mitochondrial	6j5i/6j5j/6j5k	14,4,4,4,3,4,13	88	7	6,57142857142857	46	0
AXE2_GEOSE	Acetylxylan esterase	3w7v/4jhl/4jj4/4jj6/4jko/4oao/4oap/5bn1	7,4,3,3,12,3,4,11,3,6,9,3,15,3,7,20,3,9,3,3,15	219	21	6,95238095238095	146	0
BAG1_ARATH	BAG family molecular chaperone regulator 1	4hwc/4hwi	7,7,12,3,5,7,27,18,27	342	9	12,5555555555556	113	2
BAG1_HUMAN	BAG family molecular chaperone regulator 1	1hx1/1wxv/3fzf/3fzh/3fzk/3fzl/3fzm/3ldq/3m3z/5aqf/5aqg/5aqh/5aqi/5aqj/5aqk/5aql/5aqm/5aqn/5aqo/5aqp/5aqq/5aqr/5aqs/5aqt/5aqu/5aqv	6,9,5,11,4,3,4,4,9,36,3,9,18,26	345	14	10,5	147	2
BAG2_MOUSE	BAG family molecular chaperone regulator 2	3cqx	34,8,23	210	3	21,6666666666667	65	1
BAT1_HUMAN	b(0,+)-type amino acid transporter 1	6li9/6lid/6yup	11,3,7,28,4,7,13,18,3,4,18,4,24,3,11,3,4,24,5,8,17,8,5,14,22,20,19,15	487	28	11,5	322	0
BAT1_MYCRK	Burkholderia TALE-like protein 1	4cj9	8,10,5,7,17,8,17,8,17,8,17,8,18,8,17,8,17,8,16,8,17,8,17,8,18,8,18,8,17,8,17,8,17,8,17,8,17,8,18,8,17,8,18,10,17,8,9	771	47	12,1276595744681	570	0
BCPA_PROAE	Bacteriochlorophyll a protein	6mez	10,9,15,11,29,17,4,12,16,12,7,3,8,14,4,3,9,9,6,4,8,9,7,4,6,11,5	366	27	9,33333333333333	252	0
BCPB_MYCTU	Putative peroxiredoxin Rv1608c	5epf	3,3,4,5,12,6,8,11,3,6,3,3,5,7,12	154	15	6,06666666666667	91	1
BLMH_HUMAN	Bleomycin hydrolase	1cb5/2cb5	3,12,10,5,6,3,3,17,25,8,11,3,3,23,23,8,7,8,3,5,7,3,13,5,5,6,10,7,5,7,7,3,4,4,3,3	455	36	7,72222222222222	278	0
C167_SORCE	Epothilone C/D epoxidase	1pkf/1q5d/1q5e	10,5,4,8,3,6,3,6,11,4,4,3,15,3,8,3,14,24,10,4,15,16,9,3,11,12,3,3,5,4,3,3,18,3,3,5	419	36	7,33333333333333	264	0
CA4A_CONER	Alpha-conotoxin EIVA	1pqr	6,4,4	30	3	4,66666666666667	14	0
CAH_BACSU	Cephalosporin-C deacetylase	1l7a/1ods	5,13,5,12,3,12,7,3,9,5,3,3,4,18,11,12,7,7,8,12,4,3,6,3,10,8,15	318	27	7,7037037037037	208	0
CALC_ANGJA	Calcitonin	1bku/1byv/1bzb	15,4,3	32	3	7,33333333333333	22	0
CARD_MYCTU	RNA polymerase-binding transcription factor CarD	4kbm/4kmc/6edt/6ee8/6eec/6vvx/6vvy/6vvz/6vw0	4,11,8,6,3,12,12,15,21,3,10	162	11	9,54545454545454	105	0
CARE_ACEWD	Caffeyl-CoA reductase-Etf complex subunit CarE	6fah	5,3,4,17,9,8,7,3,13,8,12,6,4,3,7,3,6,7,3,7,4,3,3,11,4,4,3,4,5,4,3,7,4,6,13	396	35	6,08571428571429	213	0
CAS4_PYRCJ	CRISPR-associated exonuclease Cas4	4r5q	3,4,10,4,5,9,10,5,18,9,11,7,15,6,5,4,11,3,4	213	19	7,52631578947368	143	0
CASSI_CORCC	Cassiicolin	2hgo	3,3,3,3	27	4	3	12	0
CBH_CLOPE	Conjugated bile acid hydrolase	2bjf/2bjg/2rf8/2rg2/2rlc	6,11,5,3,3,8,9,6,3,5,3,8,8,4,6,6,5,4,3,8,3,4,4,3,3,19,3,9,9,8,4,3,4	329	33	5,75757575757576	190	0
CBPA1_PIG	Carboxypeptidase A1	1pca	5,10,3,4,5,3,10,6,14,14,8,7,6,17,7,6,9,3,4,3,13,8,8,19,4,4,7,6,4,3,21	419	31	7,7741935483871	241	0
CCND3_HUMAN	G1/S-specific cyclin-D3	3g33	11,4,17,15,3,16,5,14,4,6,17,3,14,12,16	292	15	10,4666666666667	157	1
CD59_HUMAN	CD59 glycoprotein	1cdq/1cdr/1cds/1erg/1erh/2j8b/2ofs/2uwr/2ux2/5imy	3,3,3,7,7,3,8,5,3,3	128	10	4,5	45	1
CD5R1_HUMAN	Cyclin-dependent kinase 5 activator 1	1unl/3o0g	15,16,14,19,3,3,24,12	307	8	13,25	106	0
CFI3_ARATH	Probable chalcone--flavanone isomerase 3	4dok	3,3,21,12,7,3,5,9,3,9,18,15,6,3,6,5,11,15	209	18	8,55555555555556	154	0
CG121_METJA	Regulatory protein Cgi121	2k8y	8,5,6,3,13,4,10,8,10,11,4,10,3,10,3	145	15	7,2	108	0
CHB_SERMA	Chitobiase	1c7s/1c7t/1qba/1qbb	7,8,4,3,10,5,4,5,6,11,3,3,3,3,3,7,4,11,3,13,8,3,3,5,7,14,3,9,8,3,13,5,4,4,12,11,16,6,3,20,4,3,3,4,3,8,4,3,15,5,4,3,3,10,10,4,4,3,6,3,6,3,7,8,10,3,17,7,5,5,8,3,5	885	73	6,32876712328767	462	0
CHEW_ECOLI	Chemotaxis protein CheW	2ho9/6s1k	4,8,6,3,7,7,6,5,7,16,4,3,5,5,12,3	167	16	6,3125	101	1
CHEW_THEMA	Chemotaxis protein CheW	1k0s/2ch4/3ja6/4jpb	11,5,3,6,3,7,7,5,3,7,17,3,3,3,7,6,8	151	17	6,11764705882353	104	1
CHEX_THEMA	CheY-P phosphatase CheX	1squ	17,3,12,7,11,23,3,4,3,12,7	155	11	9,27272727272727	102	0
CHPT_BRUA2	Protein phosphotransferase ChpT	4qpj	32,25,3,13,9,3,17,8,11,7,13,4,5	209	13	11,5384615384615	150	0
CLH1_BOVIN	Clathrin heavy chain 1	1utc/1xi4/1xi5/3iyv/3lvg/3lvh/3qil/5m5r/5m5s/5m5t/5m5u/5m5v/5m61/6wcj	9,4,3,5,8,8,5,5,10,6,7,6,17,5,3,7,10,10,6,8,9,7,5,3,7,6,7,6,7,6,7,7,10,4,7,9,11,13,6,13,11,12,11,9,10,10,10,13,3,8,3,10,8,13,10,8,11	1675	57	7,92982456140351	452	0
COAW_STAAW	Type II pantothenate kinase	4m7x/4m7y	6,9,7,3,9,5,6,3,3,15,15,8,12,8,5,4,3,27,6,3,13,4,3,11	267	24	7,83333333333333	188	0
COFD_METMA	2-phospho-L-lactate transferase	3c3d/3c3e/3cgw	4,9,3,4,3,3,9,3,8,15,12,6,8,3,5,7,9,4,5,6,6,5,4,3,8,5,3,7,5,15	303	30	6,23333333333333	187	0
COMC_METJA	L-sulfolactate dehydrogenase	2x06	14,17,3,3,9,5,5,7,19,9,8,7,7,11,8,3,5,6,3,3,14,3,7,3,16,9,13,3	344	28	7,85714285714286	220	0
COX17_HUMAN	Cytochrome c oxidase copper chaperone	2l0y/2lgq/2rn9/2rnb	3,13,3,14	63	4	8,25	33	1
COX8B_BOVIN	Cytochrome c oxidase subunit 8B, mitochondrial	1occ/1oco/1ocr/1ocz/1v54/1v55/2dyr/2dys/2eij/2eik/2eil/2eim/2ein/2occ/2y69/2ybb/2zxw/3abk/3abl/3abm/3ag1/3ag2/3ag3/3ag4/3asn/3aso/3wg7/3x2q/5b1a/5b1b/5b3s/5gpn/5iy5/5w97/5wau/5x19/5x1b/5x1f/5xdq/5xdx/5xth/5xti/5z84/5z85/5z86/5zco/5zcp/5zcq/6j8m/6juw/6jy3/6jy4/6nkn/6nmf/6nmp/7coh	24,5	70	2	14,5	29	0
CPTP_HUMAN	Ceramide-1-phosphate transfer protein	4k80/4k84/4k85/4k8n/4kbs/4kf6	6,5,18,3,19,4,10,3,24,11,4,11,7,3,28	214	15	10,4	156	0
CPT_STRVP	Chloramphenicol 3-O phosphotransferase	1grq/1grr/1qhn/1qhs/1qhx/1qhy	5,11,3,5,7,4,4,3,19,6,11,7,10,3,5,3,5,9	178	18	6,66666666666667	120	0
CRL_SALTY	Sigma factor-binding protein Crl	2mz8/6omf	9,9,3,3,10,7,24,4,3	133	9	8	72	0
CRPE_MYCPA	Catalase-related peroxidase	3e4w/3e4y	10,3,11,3,3,13,8,8,10,3,11,4,7,3,3,10,12,5,12,9,12,4,3,18	313	24	7,70833333333333	185	0
CRPL_MYCTU	CRP-like cAMP-activated global transcriptional regulator	3d0s/3mzh/4a2u	4,3,3,4,4,3,3,8,6,7,3,4,8,7,6,27,16,4,5,8,13,5,5,8	224	24	6,83333333333333	164	1
CSA5A_SACS2	CRISPR type I-A cluster 1/Apern-associated protein Csa5-1	3zc4	8,12,3,5,21,8,3,11,3,4,4,3,4,4,13,11,3	162	17	7,05882352941176	120	0
CSAA_BACSU	Probable chaperone CsaA	2nzh/2nzo	8,12,3,7,4,6,4,5,3,3,3,5,9,3	110	14	5,35714285714286	75	1
CSK2B_HUMAN	Casein kinase II subunit beta	1ds5/1jwh/4md9/4nh1/6q38	7,5,4,3,3,8,3,21,12,3,3,3,3,3,4,3,8,3,3,3,4,4	215	22	5,13636363636364	113	0
CSM4_THEON	CRISPR system Cms protein Csm4	6muu	11,3,16,12,4,5,3,8,3,8,11,10,9,6,9,3,3,9,5,3,3,4,3,4,3,4,3,3	289	28	6	168	0
CUGA_CONPB	Conotoxin pc16a	2ler	3	11	1	3	3	0
CUTA_ECOLI	Divalent-cation tolerance protein CutA	1naq/3aa8/3aa9/3ah6/3x3u/4y65/4y6i	10,13,15,15,3,11,4,5,10	112	9	9,55555555555556	86	0
CVNH_NEUCR	Cyanovirin-N homolog	2jzl	3,5,9,7,3,4,4,4,10,9,7,6,3	111	13	5,69230769230769	74	0
CVNH_TUBBO	Cyanovirin-N homolog	2jzk	4,7,7,7,3,4,4,8,8,4,4,3	103	12	5,25	63	0
CY550_THEVL	Cytochrome c-550	3a0b/3a0h/3wu2/4il6/4ub6/4ub8/5b5e/5b66/5gth/5gti/5v2c/5ws5/5ws6/6jlj/6jlk/6jll/6jlm/6jln/6jlo/6jlp/7cji/7cjj/7cou/7d1t/7d1u	5,3,14,4,3,5,3,9,3,18,3,3	163	12	6,08333333333333	73	0
CY551_HALHA	Cytochrome c-551	1gks	6,4,4,3,5,10,12	78	7	6,28571428571429	44	0
CYSM_HELPY	Cysteine synthase	5hbg/6ahi	4,4,4,6,3,13,5,10,7,9,5,3,15,8,9,5,3,13,7,5,15,16,6,4	306	24	7,45833333333333	179	0
DAPDH_CORGL	Meso-diaminopimelate D-dehydrogenase	1dap/1f06/2dap/3dap/5loa/5loc	6,10,11,4,3,3,4,3,5,9,4,3,15,3,12,3,6,3,8,9,8,4,8,3,9,5,7,4,13,12,21,3,3,4,8	320	35	6,74285714285714	236	0
DCSB_STRLA	N(omega)-hydroxy-L-arginine amidinohydrolase	6lug/6luh	6,3,16,4,7,16,11,3,11,5,3,5,3,5,10,3,3,8,6,3,3,10,3,7,22	273	25	7,04	176	0
DCSG_STRLA	Cycloserine biosynthesis protein DcsG	6jil	5,3,10,5,3,7,4,14,5,7,7,3,11,9,4,3,13,5,4,7,8,3,4,18,9,10,3,3,12	299	29	6,86206896551724	199	1
DDDP_ROSDO	Dimethylsulfonioproprionate lyase DddP	4b28	6,3,9,18,5,8,6,5,4,4,3,4,3,19,6,9,4,9,28,13,3,3,4,8,3,9,19,6,4,14,9,10,6,4	447	34	7,88235294117647	268	0
DDDQ_RUELI	Dimethylsulfonioproprionate lyase DddQ	4la2/4la3/5jso/5jsp/5jsr	13,6,5,10,4,5,9,4,7,6,17,6,4,4,9	192	15	7,26666666666667	109	0
DDGS_TRIV2	Demethyl-4-deoxygadusol synthase	5tpr	7,18,6,8,18,7,3,14,6,13,5,5,6,8,5,6,18,16,22,3,3,5,4,18,13,14,6,4,15,4	410	30	9,33333333333333	280	0
DDRFA_KLEOK	Diol dehydratase-reactivating factor alpha subunit	2d0o/2d0p	8,11,10,3,15,3,8,10,5,8,5,7,13,10,6,3,9,7,6,6,6,5,6,6,3,8,3,3,16,3,14,14,12,7,9,8,9,3,7,12,9,4,7,3,3,4,3,27,4,3,6,4,3,8,4,3,13	610	57	7,28070175438596	415	0
DEFN_HELVI	Defensin heliomicin	1i2u/1i2v	5,4,7,3,4,4	44	6	4,5	27	0
DEF_PENBA	Defensin-like protein	1brz/2brz/2kgq/2kyq/2ly5/2ly6/2n66/2n69/4he7	4,4,4,10,7,3,8	54	7	5,71428571428571	40	0
DGD_PANAM	D-galactonate dehydratase family member RspA	3t6c	9,10,5,3,9,5,10,22,4,9,13,5,4,4,19,8,10,3,4,6,7,3,9,3,4,13,4,13,6,3,3,4	417	32	7,3125	234	0
DGGGP_METJA	Digeranylgeranylglyceryl phosphate synthase	6m31/6m34/7bpu	10,19,25,6,19,19,20,24,5,5,3,15,4,23,26	283	15	14,8666666666667	223	0
DGOA_ECOLI	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	2v81/2v82	3,4,14,5,12,6,9,3,9,3,4,9,5,4,8,7,7,5,20	205	19	7,21052631578947	137	0
DHAQ_LACLA	DhaKLM operon coactivator DhaQ	2iu4	10,4,4,3,9,3,10,11,3,7,16,6,5,13,11,3,9,4,5,5,16,3,8,3,17,8,10,7	328	28	7,60714285714286	213	1
DHAR2_ARATH	Glutathione S-transferase DHAR2	5lol	6,4,12,6,6,4,4,11,3,10,18,3,3,21,11,6,8,3	213	18	7,72222222222222	139	2
DJC24_HUMAN	DnaJ homolog subfamily C member 24	2l6l	6,15,19,3,12,7,4,5,3,5,4,3,4,5	149	14	6,78571428571429	95	2
DLTB_STRT2	Teichoic acid D-alanyltransferase	6bug/6buh/6bui	6,16,16,25,24,3,16,8,3,9,23,6,11,31,3,4,10,10,3,20,33,22,7	415	23	13,4347826086957	309	0
DNAJ2_THET8	Chaperone protein DnaJ 2	4j7z/6psi	5,14,18,9,3,6,3,6,6,6,6,5,3,3,7,3,8,6,5,8,11,12,15	280	23	7,30434782608696	168	1
DNAJ_ECOLI	Chaperone protein DnaJ	1bq0/1bqz/1exk/1xbl/5nro	5,3,15,4,18,5,3,3,3,8,6,4,3,3,5	376	15	5,86666666666667	88	1
DOM34_YEAST	Protein DOM34	3j16	7,6,8,6,13,8,4,5,3,6,9,7,7,8,17,8,15,4,5,5,8,3,8,14,6,9,7,3,16,5,8,7	386	32	7,65625	245	0
DPH3_YEAST	Diphthamide biosynthesis protein 3	1yop/1yws/4x33/5ax2	5,3,4,5,7,5,3,4,5,11	82	10	5,2	52	1
DPO2_ECOLI	DNA polymerase II	3k57/3k5l	14,10,6,6,3,7,10,9,13,8,11,9,8,8,9,9,15,7,12,4,3,4,4,7,9,3,14,22,12,15,4,6,9,9,3,3,5,17,16,3,24,4,8,24,12,4,7,9,3,15,12,3,5,3,15,9,4,3,7,6,4,8	783	62	8,62903225806452	535	0
DPOL_BPT7	DNA-directed DNA polymerase	2ajq	9,3,8,4,3,13,5,13,3,3,8,3,3,23,3,22,3,7,19,3,25,4,3,3,7,10,6,23,4,3,3,5,3,6,3,7,14,8,8,12,5,13,12,3,3,3,4,3,3,27,9,8,21,8	704	54	8,09259259259259	437	0
DPOL_THEGO	DNA polymerase	1tgo/2vwj/2vwk	9,10,7,7,3,5,3,3,9,9,10,6,9,8,4,8,8,3,15,7,12,4,12,5,8,9,8,33,5,15,6,11,8,3,3,22,18,5,26,13,18,14,5,5,3,15,16,4,3,3,3,11,6,3,4,3,3,6,9,3,3,3,4	773	63	8,19047619047619	516	0
DPS_HALSA	DNA protection during starvation protein	1moj/1tjo/1tk6/1tko/1tkp	31,28,7,3,28,24	182	6	20,1666666666667	121	0
DPS_HELPY	DNA protection during starvation protein	1ji4	25,3,28,7,28,24	144	6	19,1666666666667	115	0
DSBB_ECOLI	Disulfide bond formation protein B	2hi7/2k73/2k74/2leg/2zup	8,22,22,4,27,3,4,3,3,26	176	10	12,2	122	0
DTDA_PYRHO	D-aminoacyl-tRNA deacylase	2gfq	6,13,7,6,8,9,10,5,4,4,14,4,11,4,21,6,9,9,3,8,3,6,14,5	274	24	7,875	189	0
DXO_CANAL	Decapping nuclease RAI1	5bth/5bud	3,8,4,5,3,3,15,5,9,3,8,6,18,21,4,3,5,4,10,9,4,3,3,8,21,7,9,3,6,3,18,6,6,8,9	391	35	7,42857142857143	260	0
ECFA2_THEMA	Energy-coupling factor transporter ATP-binding protein EcfA2	2yz2/4hlu	11,11,5,3,8,7,4,3,4,4,7,10,4,3,13,7,16,5,3,7,7,7,3,8,3,4	266	26	6,42307692307692	167	1
ECOT_ECOLI	Ecotin	1azz/1ecy/1ecz/1ezu/1ifg/1n8o/1xx9/1xxd/1xxf	3,6,3,13,3,3,6,6,3,3,7,4,3,3,6,8	162	16	5	80	0
EGTB_MYCT3	Hercynine oxygenase	4x8b/4x8d/4x8e	18,5,16,4,3,6,21,23,4,6,3,5,6,9,3,3,10,5,4,11,9,3,6,3,7,3,3,5,3,3,5,3	446	32	6,8125	218	0
EGTC_MYCS2	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase	4zfj/4zfk/4zfl	11,5,4,6,8,3,6,3,9,3,5,7,3,4,12,3,11,7,11,5,7,8,6	227	23	6,39130434782609	147	1
EGTD_MYCS2	Histidine N-alpha-methyltransferase	4pim/4pio/4uy5/4uy6/4uy7/6fnq/6fns/6fnt	6,4,12,3,4,10,3,20,6,10,7,14,3,3,7,4,12,8,7,17,3,8,10,5,3,5,8,10,7,7	321	30	7,53333333333333	226	0
END2_BPT4	Endonuclease II	2wsh	7,6,8,9,13,11,7,6,6,12	136	10	8,5	85	1
ENDA_ARCFU	tRNA-splicing endonuclease	1r0v/1r11/1rlv/2gjw	7,6,4,4,9,11,3,13,3,12,7,5,7,6,5,4,4,4,9,3,11,13,4,3,7,6,6,13,6,8	305	30	6,76666666666667	203	0
ENDA_METJA	tRNA-splicing endonuclease	1a79	6,4,9,3,4,9,4,4,11,13,4,3,6,8,3,12,7,9	179	18	6,61111111111111	119	0
EPF1_ARATH	Protein EPIDERMAL PATTERNING FACTOR 1	5xjo	6,7,3	104	3	5,33333333333333	16	0
EPO_HUMAN	Erythropoietin	1buy/1cn4/1eer	3,17,3,4,8,4,3,27,21,7,5,13,10	193	13	9,61538461538461	125	0
EST6_DROME	Esterase-6	5thm	4,4,10,3,4,5,7,7,3,6,5,5,10,4,11,10,3,5,11,4,6,3,4,5,6,4,4,4,12,6,12,12,7,6,3,4,3,19,6,6	544	40	6,325	253	0
ESTA_PSEAE	Esterase EstA	3kvn	4,3,8,4,4,6,9,5,6,6,5,5,20,4,3,22,4,10,4,3,3,3,6,16,4,23,13,15,19,18,23,22,17,3,34,6,4,15,12,13	646	40	10,1	404	1
ESTB_BURGA	Esterase EstB	1ci8/1ci9	16,9,12,3,3,14,3,5,4,5,3,10,13,8,4,3,3,4,5,5,13,4,8,3,3,7,4,5,6,3,10,4,10	392	33	6,42424242424242	212	0
EUTB_ECOLI	Ethanolamine ammonia-lyase large subunit	3abo/3abq/3abr/3abs/3any/3ao0/5ysn/5ysr	4,4,7,5,13,5,3,8,7,9,7,3,9,9,7,4,13,3,17,3,9,4,6,14,3,5,4,13,6,17,4,13,5,3,11,9,3,4	453	38	7,18421052631579	273	0
EXLYS_BPP22	Peptidoglycan hydrolase gp4	5gai	12,13,3,3,5,3,12,4,21,3,4	166	11	7,54545454545455	83	0
FABA_ECOLI	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	1mka/1mkb/4keh	8,3,9,7,5,18,9,3,27,14,3	172	11	9,63636363636364	106	0
FABD_SALTY	Malonyl CoA-acyl carrier protein transacylase	3h0p	5,6,13,7,4,21,4,9,17,9,12,8,7,13,5,3,12,3,11,10,4,4,9,4,8	309	25	8,32	208	0
FEMX_WEIVI	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase	1ne9/1p4n/1xe4/1xf8/1xix/3gkr/4ii9	13,3,6,9,10,9,15,6,9,4,3,3,3,3,7,3,4,12,6,18,10,8,11,9,15,7,9,3,6,7	336	30	7,7	231	0
FER1_LEPBY	Ferredoxin-1	3b2g	8,3,8,7,6,7,5,3,3,9,4	99	11	5,72727272727273	63	1
FER1_PEA	Ferredoxin-1, chloroplastic	6yac/6yez	6,6,8,10,4,4,3,6,4	149	9	5,66666666666667	51	1
FER_ECOLI	2Fe-2S ferredoxin	1i7h	4,4,7,4,6,3,7,3,4	111	9	4,66666666666667	42	1
